HealthKey,Domestic general government health expenditure (% of GDP),"Hospital beds (per 1,000 people)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Immunization, Pol3 (% of one-year-old children)","Mortality rate, infant (per 1,000 live births)","Stillbirth rate (per 1,000 total births)","Nurses and midwives (per 1,000 people)","Physicians (per 1,000 people)",Diabetes prevalence (% of population ages 20 to 79),"Prevalence of HIV, total (% of population ages 15-49)",Prevalence of current tobacco use (% of adults),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, adult, female (per 1,000 female adults)"
102,8.61875916,6.06,90,96,90,96,3.2,4.263773035,10.8898,6.4752,,,34.6,,97.921,48.319
103,8.68237877,8.06,87,93,97,93,3.3,2.658184363,12.8599,4.1944,,0.1,28.6,,89.99,49.545
104,9.14448833,2.34,67,98,97,98,2.3,2.720248394,11.7622,4.2693,,,30.8,,63.956,39.668
105,6.33803082,3.84,94,94,95,94,3.2,2.266575887,12.4053,3.5672,,0.1,17.1,,75.835,44.673
106,8.53385067,2.6,,94,94,94,3.5,2.062228606,10.3195,4.0099,,0.1,20,,82.426,51.652
107,8.32023335,5.76,97,98,96,98,3.3,2.95164668,,3.0679,,,25.5,,86.08,51.237
108,7.56277943,2.53,71,91,90,91,4.6,2.811976188,9.9491,2.6102,,,,,84.184,50.932
109,8.51218987,2.87,93,95,92,94,5.7,3.032661543,14.5812,,,0.4,,,139.245,81.996
110,7.8130374,2.54,,94,92,94,3.8,3.032529665,8.2245,5.5691,,,,,84.624,53.08
111,8.59649086,5.98,90,96,90,96,3.3,4.267122773,11.162,6.5131,,,,,95.442,48.287
112,8.80528641,8,87,93,97,93,3.3,2.724224495,13.1142,4.2488,,0.1,,,86.511,48.026
113,9.13570595,2.21,76,97,97,97,2.3,2.643989083,12.5813,4.331,,,,,63.288,39.084
114,6.36546087,,95,95,95,95,3.2,2.240449125,14.5413,3.6778,,0.1,,,74.463,43.338
115,8.43570423,2.61,,98,97,98,3.4,2.057525052,10.4389,4.1324,,0.1,,,78.186,47.453
116,8.33751106,5.66,97,98,96,98,3.3,2.919780099,,3.0709,,,,,82.796,49.29
117,7.58277988,2.55,71,91,90,91,4.5,2.795347587,9.9874,2.4251,,,17.5,8.94,83.818,50.202
118,8.47234249,,91,94,92,93,5.6,3.020889353,15.685,2.6036,,0.4,25.1,9.87,137.542,80.603
119,7.86187077,2.5,,94,92,94,3.7,3.047420806,8.1723,5.6162,,,19.2,11.45,87.147,54.575
120,8.49391079,5.91,91,96,90,96,3.4,4.307162936,11.4707,6.5344,,,34.6,12.33,94.454,48.347
121,8.88178158,,87,93,97,93,3.2,2.732278755,13.4858,4.2996,,0.1,28,12.91,,
122,9.27633858,2.14,92,97,97,97,2.2,2.546440956,,,,,28.8,8.93,62.062,38.431
123,6.29709959,,95,95,95,95,3.2,2.234485351,12.8134,3.7595,,0.1,16.2,10.51,73.167,42.796
124,8.44737244,2.43,,97,95,97,3.3,2.040724591,10.5515,4.2247,,0.1,18.6,10.26,77.895,48.343
125,8.26992512,5.62,97,98,96,98,3.4,2.880879097,,3.1146,,,25,11.08,80.262,49.245
126,7.60929585,2.52,74,91,90,91,4.4,2.766615649,11.812,2.4425,,,,,,
127,8.52492332,,91,94,90,93,5.5,3.002832799,,,,0.4,,,,
128,8.06920433,2.46,93,93,91,93,3.7,3.042980259,10.2922,5.8233,,,,,,
129,8.32757092,,91,96,90,96,3.4,4.345981126,,,,,,,,
130,9.09177876,,87,93,97,93,3.2,2.710545503,,,,0.1,,,,
131,9.22483444,,97,98,97,98,2.2,2.449188813,,,,,,,58.136,37.733
132,7.10425138,,95,95,95,95,3.2,2.215414078,13.2416,,,0.1,,,,
133,8.29217625,2.6,,97,96,97,3.2,2.012073398,,,,0.1,,,73.629,43.817
134,8.18138885,5.58,97,98,96,98,3.4,2.839868578,,5.9556,,,,,,
135,,,,,,,4.4,,,,,,,,,
136,,,,,,,5.4,,,,,,,,,
137,,,,,,,3.6,,,,,,,,,
138,,,,,,,3.4,,,,,,,,,
139,,,,,,,3.1,,,,,0.1,,,,
140,,,,,,,2.1,,,,,,,,,
141,,,,,,,3.1,,,,,0.1,,,,
142,,,,,,,3.1,,,,,0.1,,,,
143,,,,,,,3.4,,,,,,,,,
